ChangeType,branch_code,FieldName,OldValue,NewValue
Added,05688,,,"{""name"": ""TANKARA"", ""branch_code"": ""05688"", ""address"": {""line1"": ""K.NO: 29, LATE VAGHAJIBHAI BODA'S BUILDING"", ""line2"": ""JIVAPURA STREET"", ""line3"": ""IN DUA-DWAR GATE"", ""city"": ""TANKARA"", ""pincode"": ""3"
Added,05689,,,"{""name"": ""LAKSHMIKANTAPUR"", ""branch_code"": ""05689"", ""address"": {""line1"": ""H.NO.-N0079"", ""line2"": ""NEAR SURUCHI SWEET SHOP"", ""line3"": ""BIJOYGANG BAZAR"", ""city"": ""LAKSHMIKANTAPUR"", ""pincode"": ""743345""},"
Added,05151,,,"{""name"": ""GURUGUNTA"", ""branch_code"": ""05151"", ""address"": {""line1"": ""PLAT NO: 12,13, MAIN ROAD"", ""line2"": ""SRI VENKATESHWARA KIRANI STORE"", ""line3"": ""OPP: POLICE STATION, TAL: LINGASUGUR"", ""city"": ""GUR"
Added,05690,,,"{""name"": ""DOMCHANCH DHAB ROAD"", ""branch_code"": ""05690"", ""address"": {""line1"": ""PLOT NO: 2884, RAJA COMPLEX, 2ND FLOOR"", ""line2"": ""DHAB ROAD"", ""line3"": ""NEAR BAIRANG BALI MANDIR"", ""city"": ""DOMCHANCH"", """
Modified,03788,coords,"['20.0677976000', '85.6995549000']","['20.0656880000', '85.6947530000']"
Modified,03788,mobile,9439725459,"9439725459, 8249870272"
Modified,03788,address.line3,"RADHA MOHAN MATHA ROAD, VIA: DELANGA","GHORADIA, GHANIPUR"
Modified,03788,address.line2,"HOUE OF BASANTA BARATA, SAURIA",NEAR GOVERNMENT HOSPITAL
Modified,03788,address.line1,H NO: 1547,"PLOT NO: 565, SHIV VARDANI BHAWAN"
Modified,01260,coords,"['12.7675273000', '76.0626740000']","['12.7675850000', '76.0566700000']"
Modified,01260,address.line3,WARD NO: 16,ARKALGUD
Modified,01260,address.line2,NEAR JUNIOR COLLEGE,"HASSAN ROAD, BEHIND MINI VIDANSOUDHA KOTE"
Modified,01260,address.line1,"KHATA NO: 20-1-681A, HENTEGERE ROAD","KHATA NO: 3832, KIDZLAND BUILDING"
Modified,00113,contact,05612-253211,
Modified,00712,coords,"['29.2895507000', '75.4720180000']","['29.2895720000', '75.4708090000']"
Modified,00712,mobile,"9017709596, 9812572575",9812572575
Modified,00712,address.line3,,MANDI ADAMPUR
Modified,00712,address.city,MANDI ADAMPUR ,MANDI ADAMPUR
